season,batter,pa_22g,ros_woba_delta_vs_prior,cal_q10,cal_q50,cal_q90,raw_q10,raw_q50,raw_q90
2025,455117,63,0.03278273934663303,-0.031838030565156994,0.027087720178904984,0.11468389000349977,-0.031838030565156994,0.027087720178904984,0.11468389000349977
2025,456781,57,-4.6877388132082753e-05,-0.11325363825363827,-0.03176453980801808,0.026019588953114958,-0.11325363825363827,-0.03176453980801808,0.026019588953114958
2025,457705,83,-0.01774001809980197,-0.06550979673336538,-0.014932255526767746,0.020506958822176236,-0.06550979673336538,-0.014932255526767746,0.020506958822176236
2025,457759,68,-0.04511625058625107,-0.09036754507628297,-0.037419859801426925,0.011271564132192406,-0.09036754507628297,-0.037419859801426925,0.011271564132192406
2025,467793,96,-0.035225017662582014,-0.07750941916790882,-0.02648352410763516,0.026312577522027814,-0.07750941916790882,-0.02648352410763516,0.026312577522027814
2025,500743,56,0.02162562752185554,-0.07189696934836515,-0.018316525130450456,0.040362254293133004,-0.07189696934836515,-0.018316525130450456,0.040362254293133004
2025,502054,83,0.01775543260339435,-0.08078654410015196,-0.02784066860310372,0.03310828226331525,-0.08078654410015196,-0.02784066860310372,0.03310828226331525
2025,502671,92,-0.04630091924431984,-0.07061301251824847,-0.024559324893730528,0.01967999200531345,-0.07061301251824847,-0.024559324893730528,0.01967999200531345
2025,514888,95,-0.038804619789894024,-0.08326389126653994,-0.03062699554181686,0.032226008358254676,-0.08326389126653994,-0.03062699554181686,0.032226008358254676
2025,516782,67,0.026118708771166455,-0.07189696934836515,-0.016023779833486518,0.03318944886274833,-0.07189696934836515,-0.016023779833486518,0.03318944886274833
2025,518595,77,-0.06259886390501801,-0.08662093436980317,-0.02784066860310372,0.03171937972616812,-0.08662093436980317,-0.02784066860310372,0.03171937972616812
2025,518692,90,-0.03364953107534285,-0.06445310361775253,-0.01746079362113223,0.044082254412381255,-0.06445310361775253,-0.01746079362113223,0.044082254412381255
2025,518934,80,-0.0063431083286338286,-0.044638965716181644,0.007585577943927724,0.059875481940948494,-0.044638965716181644,0.007585577943927724,0.059875481940948494
2025,519317,79,0.09302114432188707,-0.06924511856808474,-0.012405820667936274,0.05568104911554918,-0.06924511856808474,-0.012405820667936274,0.05568104911554918
2025,521692,90,-0.007019937823878664,-0.050788116806176564,-0.004384451217915142,0.05644112733798917,-0.050788116806176564,-0.004384451217915142,0.05644112733798917
2025,527038,84,-0.002876615587866671,-0.06992416756045666,-0.014932255526767746,0.03755785490114549,-0.06992416756045666,-0.014932255526767746,0.03755785490114549
2025,542303,95,-0.048236648051785735,-0.06440760294961762,-0.01483816086065598,0.04464233607719398,-0.06440760294961762,-0.01483816086065598,0.04464233607719398
2025,543309,76,0.01934806072625045,-0.07471027094431976,-0.01654856542599953,0.03771397546028893,-0.07471027094431976,-0.01654856542599953,0.03771397546028893
2025,543510,81,0.05387819501693847,-0.044638965716181644,0.009266753650157444,0.06952882374769936,-0.044638965716181644,0.009266753650157444,0.06952882374769936
2025,543760,91,-0.020791701604682522,-0.08248760713255926,-0.02871747519675777,0.019062574745634886,-0.08248760713255926,-0.02871747519675777,0.019062574745634886
2025,543807,86,0.08713386010761742,-0.05809039924482201,-0.012081893655821074,0.03769560958259249,-0.05809039924482201,-0.012081893655821074,0.03769560958259249
2025,543877,76,-0.028287593283798262,-0.04615661277500521,0.008128221397677493,0.07605820203980962,-0.04615661277500521,0.008128221397677493,0.07605820203980962
2025,545121,66,0.010576259560358514,-0.05516448406677482,0.007750813329816197,0.060735785953177246,-0.05516448406677482,0.007750813329816197,0.060735785953177246
2025,545361,94,-0.032542268810130004,-0.07775964872271607,-0.029186799915606687,0.03286365127790419,-0.07775964872271607,-0.029186799915606687,0.03286365127790419
2025,547180,99,-0.029850206116698974,-0.07915323901897509,-0.02648635830054885,0.02393572901476909,-0.07915323901897509,-0.02648635830054885,0.02393572901476909
2025,553869,67,-0.04179490241838141,-0.07427892921403387,-0.016023779833486518,0.04141241411092296,-0.07427892921403387,-0.016023779833486518,0.04141241411092296
2025,553993,88,0.02389205710176684,-0.050788116806176564,-0.00375308046471301,0.04464233607719398,-0.050788116806176564,-0.00375308046471301,0.04464233607719398
2025,570482,79,-0.03779610647104026,-0.06161783540404515,-0.010657483457477135,0.034972679784643024,-0.06161783540404515,-0.010657483457477135,0.034972679784643024
2025,571448,96,-0.06076563185554512,-0.06914032126245911,-0.021087537791345035,0.03700201937490294,-0.06914032126245911,-0.021087537791345035,0.03700201937490294
2025,571657,77,-0.02315966076945819,-0.07055789967182372,-0.015849549164067528,0.04314729953024715,-0.07055789967182372,-0.015849549164067528,0.04314729953024715
2025,571771,66,-0.029165204880757967,-0.04798173272781736,0.008794927984809964,0.06725595915244553,-0.04798173272781736,0.008794927984809964,0.06725595915244553
2025,571970,79,0.05526886845177553,-0.09352935642359556,-0.04169922172571067,0.012821611194065163,-0.09352935642359556,-0.04169922172571067,0.012821611194065163
2025,572191,65,-0.010466220724521691,-0.04423117655911074,0.012595367631479282,0.07218289307951004,-0.04423117655911074,0.012595367631479282,0.07218289307951004
2025,572233,91,-0.028640996997766066,-0.07489513168587092,-0.027550237648418574,0.02213903066354167,-0.07489513168587092,-0.027550237648418574,0.02213903066354167
2025,573262,87,-0.012059582985636197,-0.05641163919204889,-0.00775152712554289,0.05616245173286899,-0.05641163919204889,-0.00775152712554289,0.05616245173286899
2025,575929,95,0.0037858773360485154,-0.07946430179528247,-0.031838030565156994,0.021777070403464105,-0.07946430179528247,-0.031838030565156994,0.021777070403464105
2025,578428,80,-0.0684117576628352,-0.09352935642359556,-0.03483898998137683,0.014950956629510848,-0.09352935642359556,-0.03483898998137683,0.014950956629510848
2025,592192,56,-0.13338038173826255,-0.08858857915177232,-0.02861120522854166,0.022101765141501917,-0.08858857915177232,-0.02861120522854166,0.022101765141501917
2025,592206,88,-0.033505189793646084,-0.05641163919204889,-0.010871836593101702,0.031294472427095155,-0.05641163919204889,-0.010871836593101702,0.031294472427095155
2025,592450,99,0.014300499306547754,-0.13459975611373876,-0.02548005617639465,0.04775335971486799,-0.13459975611373876,-0.02548005617639465,0.04775335971486799
2025,592518,91,-0.013933222863289407,-0.06445310361775253,-0.01995917817042564,0.02335801879280136,-0.06445310361775253,-0.01995917817042564,0.02335801879280136
2025,592626,74,-0.05695717306646175,-0.10224867724867726,-0.043710608930787154,0.019062574745634886,-0.10224867724867726,-0.043710608930787154,0.019062574745634886
2025,592663,90,-0.03287186947595033,-0.06875273810203808,-0.020291539439735662,0.020506958822176236,-0.06875273810203808,-0.020291539439735662,0.020506958822176236
2025,592885,90,-0.017766671684363522,-0.07061301251824847,-0.02655296277572311,0.01860418590432178,-0.07061301251824847,-0.02655296277572311,0.01860418590432178
2025,593428,89,-0.018123600462816136,-0.06969588851140329,-0.020401438266728023,0.02301368011534638,-0.06969588851140329,-0.020401438266728023,0.02301368011534638
2025,593871,83,-0.00021281536542860913,-0.04129561934272685,0.01910056869381882,0.07400295258579831,-0.04129561934272685,0.01910056869381882,0.07400295258579831
2025,595777,98,0.018561868139267468,-0.07750941916790882,-0.02648352410763516,0.03171937972616812,-0.07750941916790882,-0.02648352410763516,0.03171937972616812
2025,595879,78,0.02581991818423479,-0.05542327944167186,0.011413107506304254,0.07605820203980962,-0.05542327944167186,0.011413107506304254,0.07605820203980962
2025,595978,69,0.04525363613141828,-0.04781654111445882,0.01978526665028263,0.11468389000349977,-0.04781654111445882,0.01978526665028263,0.11468389000349977
2025,596019,100,-0.0051591456629508925,-0.0649321524413437,-0.017418415168415358,0.024000629317697586,-0.0649321524413437,-0.017418415168415358,0.024000629317697586
2025,596115,94,0.008183544812445043,-0.04074424586563774,0.008310502372199158,0.0701814339274563,-0.04074424586563774,0.008310502372199158,0.0701814339274563
2025,596146,89,-0.025523634092900038,-0.06478661327416149,-0.01654856542599953,0.01880232807766624,-0.06478661327416149,-0.01654856542599953,0.01880232807766624
2025,602104,82,-0.03687933735090981,-0.07189696934836515,-0.020743552386064457,0.030833357183173957,-0.07189696934836515,-0.020743552386064457,0.030833357183173957
2025,605137,90,0.005684326059862077,-0.07420631625620067,-0.01954227006784004,0.026287591399868693,-0.07420631625620067,-0.01954227006784004,0.026287591399868693
2025,605141,98,-0.07190470877210248,-0.08662093436980317,-0.03062699554181686,0.026019588953114958,-0.08662093436980317,-0.03062699554181686,0.026019588953114958
2025,605170,72,-0.0020888599484085724,-0.06771045499442802,-0.012405820667936274,0.037245396233872075,-0.06771045499442802,-0.012405820667936274,0.037245396233872075
2025,605361,61,-0.09081832520743538,-0.08858857915177232,-0.034825359875417405,0.024023043142477496,-0.08858857915177232,-0.034825359875417405,0.024023043142477496
2025,606115,76,-0.054490004107333734,-0.07932743662539302,-0.023880459253126762,0.03987161407838302,-0.07932743662539302,-0.023880459253126762,0.03987161407838302
2025,606192,88,-0.04018645161578516,-0.06609761206535397,-0.018501062213583497,0.032956210774976846,-0.06609761206535397,-0.018501062213583497,0.032956210774976846
2025,606466,88,0.01522315688855913,-0.06609761206535397,-0.02231630146753244,0.03286365127790419,-0.06609761206535397,-0.02231630146753244,0.03286365127790419
2025,607043,91,-0.006536266158792325,-0.07420631625620067,-0.024559324893730528,0.022130857813511817,-0.07420631625620067,-0.024559324893730528,0.022130857813511817
2025,607208,98,0.020226464449544568,-0.07750941916790882,-0.027779885929535064,0.028385675720042025,-0.07750941916790882,-0.027779885929535064,0.028385675720042025
2025,607732,77,-0.16587174964014972,-0.07427892921403387,-0.01426461818383326,0.0506903139608334,-0.07427892921403387,-0.01426461818383326,0.0506903139608334
2025,608070,93,0.01276803632135276,-0.07019872813990458,-0.02627591179065042,0.026312577522027814,-0.07019872813990458,-0.02627591179065042,0.026312577522027814
2025,608324,100,0.00925471094846364,-0.0649321524413437,-0.01655992426373787,0.032956210774976846,-0.0649321524413437,-0.01655992426373787,0.032956210774976846
2025,608348,85,0.01306787639951118,-0.03090228569577763,0.04138182028172338,0.1216802804288783,-0.03090228569577763,0.04138182028172338,0.1216802804288783
2025,608369,88,0.00709356710187764,-0.06924511856808474,-0.028920498318541987,0.020506958822176236,-0.06924511856808474,-0.028920498318541987,0.020506958822176236
2025,608701,67,-0.008461487559670022,-0.07242828554249162,-0.020291539439735662,0.03308446734675563,-0.07242828554249162,-0.020291539439735662,0.03308446734675563
2025,609280,85,0.05070269648621656,-0.056223989567377064,-0.008401321904368486,0.03860626614987078,-0.056223989567377064,-0.008401321904368486,0.03860626614987078
2025,620443,65,-0.009383233254200984,-0.027533086083397607,0.024565729085114008,0.10482446830607589,-0.027533086083397607,0.024565729085114008,0.10482446830607589
2025,621020,97,0.006712156807511804,-0.06550979673336538,-0.014031740125141245,0.03386411889596602,-0.06550979673336538,-0.014031740125141245,0.03386411889596602
2025,621028,65,-0.007885845899337607,-0.089792922201824,-0.029669449992254016,0.032226008358254676,-0.089792922201824,-0.029669449992254016,0.032226008358254676
2025,621035,57,-0.026671151447774544,-0.07823027847081049,-0.023276863626200073,0.04443879855465216,-0.07823027847081049,-0.023276863626200073,0.04443879855465216
2025,621043,87,-0.019837922755415516,-0.089792922201824,-0.03818934762026294,0.016533589650607028,-0.089792922201824,-0.03818934762026294,0.016533589650607028
2025,621438,81,-0.029485395313131657,-0.07879518072289154,-0.020401438266728023,0.029463553171996948,-0.07879518072289154,-0.020401438266728023,0.029463553171996948
2025,621439,92,0.04393984136148599,-0.06914032126245911,-0.017490043187007753,0.02683947471943532,-0.06914032126245911,-0.017490043187007753,0.02683947471943532
2025,621493,97,0.0037800361309515695,-0.06440760294961762,-0.013285531367630943,0.026312577522027814,-0.06440760294961762,-0.013285531367630943,0.026312577522027814
2025,621566,93,-0.0015997392680378586,-0.06843982911584176,-0.02538741789819371,0.02623412812522555,-0.06843982911584176,-0.02538741789819371,0.02623412812522555
2025,623168,74,0.024909522319566113,-0.045439820935729014,0.02588427120289538,0.09592780487658814,-0.045439820935729014,0.02588427120289538,0.09592780487658814
2025,623993,98,-0.09500671417368806,-0.0799404018747022,-0.034232180117116484,0.022101765141501917,-0.0799404018747022,-0.034232180117116484,0.022101765141501917
2025,624413,95,-0.0022726120261281624,-0.0494888137233786,0.008026793148575628,0.06320268854748606,-0.0494888137233786,0.008026793148575628,0.06320268854748606
2025,624424,84,-0.043289234636785245,-0.07189696934836515,-0.01795157150202431,0.03260849846319074,-0.07189696934836515,-0.01795157150202431,0.03260849846319074
2025,624428,77,0.025406171398614286,-0.06941699013349575,-0.006201656625675234,0.061873315363881354,-0.06941699013349575,-0.006201656625675234,0.061873315363881354
2025,624431,75,-0.04735520780295552,-0.045439820935729014,0.01910056869381882,0.07786310553485398,-0.045439820935729014,0.01910056869381882,0.07786310553485398
2025,624512,81,-0.04260345438680768,-0.04574384771464307,0.016454117088599396,0.07218289307951004,-0.04574384771464307,0.016454117088599396,0.07218289307951004
2025,624585,90,-0.04644020684332778,-0.0621171387397732,-0.013972120303086533,0.026330494932166448,-0.0621171387397732,-0.013972120303086533,0.026330494932166448
2025,624641,67,6.460354756920861e-05,-0.060145059838509374,-0.009755553569736786,0.04561507084585664,-0.060145059838509374,-0.009755553569736786,0.04561507084585664
2025,628451,57,-0.010707366310783617,-0.04423117655911074,0.01112582777746185,0.07275942064727942,-0.04423117655911074,0.01112582777746185,0.07275942064727942
2025,630105,87,0.012301794076490569,-0.057630525407338096,-0.009755553569736786,0.03755785490114549,-0.057630525407338096,-0.009755553569736786,0.03755785490114549
2025,641343,53,0.026617417513224995,-0.05177010489510486,0.015298938914847127,0.07400295258579831,-0.05177010489510486,0.015298938914847127,0.07400295258579831
2025,641355,90,0.026751451104415513,-0.07946430179528247,-0.032300971790061916,0.021777070403464105,-0.07946430179528247,-0.032300971790061916,0.021777070403464105
2025,641487,84,0.010728664518056819,-0.07011635996607019,-0.01655331648237207,0.03464011151803972,-0.07011635996607019,-0.01655331648237207,0.03464011151803972
2025,641584,81,0.005600241919369642,-0.06690844072828128,-0.01483816086065598,0.02683947471943532,-0.06690844072828128,-0.01483816086065598,0.02683947471943532
2025,641598,66,-0.05377732264214652,-0.0766116213352172,-0.01795157150202431,0.032956210774976846,-0.0766116213352172,-0.01795157150202431,0.032956210774976846
2025,641680,80,-0.0376037213958646,-0.045877375156571254,0.0013167025853478287,0.0534324309212072,-0.045877375156571254,0.0013167025853478287,0.0534324309212072
2025,641857,92,-0.01573033404728763,-0.07932743662539302,-0.026389924694065037,0.03514676113360321,-0.07932743662539302,-0.026389924694065037,0.03514676113360321
2025,641933,88,-0.03016037115753778,-0.06086888040045335,-0.012948586771813542,0.03310828226331525,-0.06086888040045335,-0.012948586771813542,0.03310828226331525
2025,641943,66,0.007714512930678319,-0.05024588004613334,0.008796024801893232,0.07209979005494588,-0.05024588004613334,0.008796024801893232,0.07209979005494588
2025,642086,77,0.04680920827620294,-0.05411348996588894,-0.001972471805842202,0.04443879855465216,-0.05411348996588894,-0.001972471805842202,0.04443879855465216
2025,642133,70,0.0058649124826601895,-0.05177010489510486,0.0013167025853478287,0.05439109605630177,-0.05177010489510486,0.0013167025853478287,0.05439109605630177
2025,642136,68,-0.017506943954379017,-0.06690844072828128,-0.003793205051151105,0.06664539727524604,-0.06690844072828128,-0.003793205051151105,0.06664539727524604
2025,642180,68,-0.03783662533058768,-0.07286914765906366,-0.0036068376068376096,0.0717555543523381,-0.07286914765906366,-0.0036068376068376096,0.0717555543523381
2025,642201,75,0.001295124843487483,-0.037419859801426925,0.029380254591522215,0.11468389000349977,-0.037419859801426925,0.029380254591522215,0.11468389000349977
2025,642708,77,0.005078799120499189,-0.05296552393919812,-0.003948639904965245,0.045394736842105265,-0.05296552393919812,-0.003948639904965245,0.045394736842105265
2025,642715,99,0.005147230896518751,-0.09352935642359556,-0.03516602274951364,0.01967999200531345,-0.09352935642359556,-0.03516602274951364,0.01967999200531345
2025,642731,96,-0.045016982492153024,-0.07055789967182372,-0.017108678167856883,0.039709191291538215,-0.07055789967182372,-0.017108678167856883,0.039709191291538215
2025,643217,89,0.008805773791469462,-0.05694800957772156,-0.004579751841693236,0.04443879855465216,-0.05694800957772156,-0.004579751841693236,0.04443879855465216
2025,643289,71,-0.019059632861480824,-0.07427892921403387,-0.022555294894674505,0.035105070577345854,-0.07427892921403387,-0.022555294894674505,0.035105070577345854
2025,643376,77,0.003353424763822943,-0.09036754507628297,-0.03176453980801808,0.01967999200531345,-0.09036754507628297,-0.03176453980801808,0.01967999200531345
2025,643396,79,-0.008020547375101772,-0.06699232913946529,-0.01612791947052611,0.03860626614987078,-0.06699232913946529,-0.01612791947052611,0.03860626614987078
2025,643446,72,-0.0021956606837504333,-0.07055789967182372,-0.017418415168415358,0.03793372657876476,-0.07055789967182372,-0.017418415168415358,0.03793372657876476
2025,643565,92,-0.01042253117125086,-0.05343613315909185,-0.005018772745393529,0.04768832871303935,-0.05343613315909185,-0.005018772745393529,0.04768832871303935
2025,645277,95,-0.021474797282468594,-0.06550979673336538,-0.017332956499076374,0.0337375265334513,-0.06550979673336538,-0.017332956499076374,0.0337375265334513
2025,645444,76,-0.014338768115942035,-0.06941699013349575,-0.003277506259927565,0.07502131287297525,-0.06941699013349575,-0.003277506259927565,0.07502131287297525
2025,646240,100,0.0023652295937365286,-0.07919099925843537,-0.029688479263348277,0.022130857813511817,-0.07919099925843537,-0.029688479263348277,0.022130857813511817
2025,647304,96,0.0018018173499326218,-0.05809039924482201,-0.012948586771813542,0.03769560958259249,-0.05809039924482201,-0.012948586771813542,0.03769560958259249
2025,647351,75,-0.08658895608341594,-0.08662093436980317,-0.02959203896018192,0.026375911945651517,-0.08662093436980317,-0.02959203896018192,0.026375911945651517
2025,649966,80,-0.0318780917875921,-0.05343613315909185,-0.0028928701110074173,0.05616245173286899,-0.05343613315909185,-0.0028928701110074173,0.05616245173286899
2025,650333,96,-0.03164189356827907,-0.0747566127750052,-0.02714094288327984,0.02378713909554575,-0.0747566127750052,-0.02714094288327984,0.02378713909554575
2025,650402,97,-0.00043903554837687597,-0.04937852027080819,-0.006992141338721669,0.04138182028172338,-0.04937852027080819,-0.006992141338721669,0.04138182028172338
2025,650489,86,-0.011440693123599244,-0.07750941916790882,-0.023880459253126762,0.0321753454950463,-0.07750941916790882,-0.023880459253126762,0.0321753454950463
2025,650490,97,0.0216715642468418,-0.07823027847081049,-0.02375896117694898,0.029463553171996948,-0.07823027847081049,-0.02375896117694898,0.029463553171996948
2025,650859,84,-0.0438898997370038,-0.07823027847081049,-0.02375896117694898,0.026019588953114958,-0.07823027847081049,-0.02375896117694898,0.026019588953114958
2025,650968,66,-0.020742091599434187,-0.06227253402310401,0.0010701288190349545,0.06574857585310545,-0.06227253402310401,0.0010701288190349545,0.06574857585310545
2025,655316,61,0.055594165594165634,-0.06542327944167187,-0.0017221204721204475,0.06248161928615786,-0.06542327944167187,-0.0017221204721204475,0.06248161928615786
2025,656180,71,-0.017667561444409285,-0.07014314459263643,-0.007207256792230776,0.05954071341732986,-0.07014314459263643,-0.007207256792230776,0.05954071341732986
2025,656305,96,-0.008479566002084993,-0.06695129539166239,-0.01655992426373787,0.029380254591522215,-0.06695129539166239,-0.01655992426373787,0.029380254591522215
2025,656537,82,0.005723917963508185,-0.0391250487411648,0.023903508771929843,0.08556612411957548,-0.0391250487411648,0.023903508771929843,0.08556612411957548
2025,656555,79,-0.0050284764579616725,-0.0677097081480506,-0.017418415168415358,0.030198425340436777,-0.0677097081480506,-0.017418415168415358,0.030198425340436777
2025,656716,86,0.03906747037262709,-0.045877375156571254,0.015303216284823895,0.07536747705785057,-0.045877375156571254,0.015303216284823895,0.07536747705785057
2025,656775,93,-0.04407225415374699,-0.04937852027080819,-0.0017221204721204475,0.05616245173286899,-0.04937852027080819,-0.0017221204721204475,0.05616245173286899
2025,656811,83,0.02318917770938328,-0.04937852027080819,-0.0014100454330413514,0.04775335971486799,-0.04937852027080819,-0.0014100454330413514,0.04775335971486799
2025,656896,68,-0.05158771679035212,-0.06969588851140329,-0.016023779833486518,0.04443879855465216,-0.06969588851140329,-0.016023779833486518,0.04443879855465216
2025,656941,100,0.025602588875109356,-0.04990169899204966,0.0010527175972074865,0.0582817147511272,-0.04990169899204966,0.0010527175972074865,0.0582817147511272
2025,656976,70,-0.04238267395736389,-0.05296552393919812,0.0036821639638722203,0.06527092182298247,-0.05296552393919812,0.0036821639638722203,0.06527092182298247
2025,657041,83,-0.035324471660775236,-0.09880471380471384,-0.035755075727901875,0.021777070403464105,-0.09880471380471384,-0.035755075727901875,0.021777070403464105
2025,657077,99,-0.06289710622724393,-0.05815839234956882,-0.009250404238407728,0.0337375265334513,-0.05815839234956882,-0.009250404238407728,0.0337375265334513
2025,657136,74,-0.043902573875399975,-0.07879518072289154,-0.0147634391183179,0.04097609870038249,-0.07879518072289154,-0.0147634391183179,0.04097609870038249
2025,657557,80,0.01944290912731761,-0.058944860049511216,0.00497469246600224,0.06631803079226911,-0.058944860049511216,0.00497469246600224,0.06631803079226911
2025,657656,64,0.06292312671462957,-0.05809039924482201,-0.0034437087178246784,0.05616245173286899,-0.05809039924482201,-0.0034437087178246784,0.05616245173286899
